region_id,region_name,system
0,Precentral_L,Somatomotor
1,Precentral_R,Somatomotor
2,Frontal_Sup_L,ExecutiveControl
3,Frontal_Sup_R,ExecutiveControl
4,Frontal_Sup_Orb_L,ExecutiveControl
5,Frontal_Sup_Orb_R,ExecutiveControl
6,Frontal_Mid_L,ExecutiveControl
7,Frontal_Mid_R,ExecutiveControl
8,Frontal_Mid_Orb_L,ExecutiveControl
9,Frontal_Mid_Orb_R,ExecutiveControl
10,Frontal_Inf_Oper_L,Salience
11,Frontal_Inf_Oper_R,Salience
12,Frontal_Inf_Tri_L,Subcortical
13,Frontal_Inf_Tri_R,Subcortical
14,Frontal_Inf_Orb_L,Subcortical
15,Frontal_Inf_Orb_R,Subcortical
16,Rolandic_Oper_L,Somatomotor
17,Rolandic_Oper_R,Somatomotor
18,Supp_Motor_Area_L,Subcortical
19,Supp_Motor_Area_R,Subcortical
20,Olfactory_L,Subcortical
21,Olfactory_R,Subcortical
22,Frontal_Sup_Medial_L,ExecutiveControl
23,Frontal_Sup_Medial_R,ExecutiveControl
24,Frontal_Med_Orb_L,Subcortical
25,Frontal_Med_Orb_R,Subcortical
26,Rectus_L,Subcortical
27,Rectus_R,Subcortical
28,Insula_L,Salience
29,Insula_R,Salience
30,Cingulum_Ant_L,ExecutiveControl
31,Cingulum_Ant_R,ExecutiveControl
32,Cingulum_Mid_L,Subcortical
33,Cingulum_Mid_R,Subcortical
34,Cingulum_Post_L,DefaultMode
35,Cingulum_Post_R,DefaultMode
36,Hippocampus_L,Memory
37,Hippocampus_R,Memory
38,ParaHippocampal_L,Memory
39,ParaHippocampal_R,Memory
40,Amygdala_L,Memory
41,Amygdala_R,Memory
42,Calcarine_L,Visual
43,Calcarine_R,Visual
44,Cuneus_L,Visual
45,Cuneus_R,Visual
46,Lingual_L,Visual
47,Lingual_R,Visual
48,Occipital_Sup_L,Visual
49,Occipital_Sup_R,Visual
50,Occipital_Mid_L,Visual
51,Occipital_Mid_R,Visual
52,Occipital_Inf_L,Visual
53,Occipital_Inf_R,Visual
54,Fusiform_L,Subcortical
55,Fusiform_R,Subcortical
56,Postcentral_L,Somatomotor
57,Postcentral_R,Somatomotor
58,Parietal_Sup_L,Attention
59,Parietal_Sup_R,Attention
60,Parietal_Inf_L,Attention
61,Parietal_Inf_R,Attention
62,SupraMarginal_L,Attention
63,SupraMarginal_R,Attention
64,Angular_L,Attention
65,Angular_R,Attention
66,Precuneus_L,Visual
67,Precuneus_R,Visual
68,Paracentral_Lobule_L,Somatomotor
69,Paracentral_Lobule_R,Somatomotor
70,Caudate_L,Subcortical
71,Caudate_R,Subcortical
72,Putamen_L,Subcortical
73,Putamen_R,Subcortical
74,Pallidum_L,Subcortical
75,Pallidum_R,Subcortical
76,Thalamus_L,Subcortical
77,Thalamus_R,Subcortical
78,Heschl_L,Language
79,Heschl_R,Language
80,Temporal_Sup_L,Language
81,Temporal_Sup_R,Language
82,Temporal_Pole_Sup_L,Language
83,Temporal_Pole_Sup_R,Language
84,Temporal_Mid_L,Language
85,Temporal_Mid_R,Language
86,Temporal_Pole_Mid_L,Language
87,Temporal_Pole_Mid_R,Language
88,Temporal_Inf_L,Language
89,Temporal_Inf_R,Language
